Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,AUS,10260.44624,10712.69536,10899.75435,10527.29419,10657.90212,10571.42534,10617.15129,10972.88015,10749.11106,10791.61648,10726.92818,10627.29387,10407.74031,10220.8873,10071.39898
Bahrain,BHR,18697.23744,19228.84683,19663.94236,19786.54839,18900.93119,21024.0143,21230.07556,20501.05139,18562.73242,17542.87793,18442.79011,18889.06398,18942.16773,19483.65385,19969.73612
Austria,AUT,7076.269483,7333.231953,7427.656445,7695.080037,7808.157792,7977.681597,8244.401952,8207.474739,8233.014833,7944.796096,8382.711154,8425.167753,8548.882199,8509.61158,8355.841952
Saudi Arabia,SAU,5432.676533,5709.427029,5830.596309,6306.378337,6210.34538,6457.385803,6604.29652,6622.899608,6796.865572,6990.535707,7435.044468,7514.490839,8043.075585,8385.611586,9047.685513
Qatar,QAT,13160.7262,13636.67835,14268.36758,14929.36108,15832.77952,15761.56756,15630.60312,14671.72879,13907.30449,14060.34004,15393.60282,15971.32423,17116.90438,15971.00665,16415.25154
Trinidad and Tobago,TTO,3798.219941,3896.704461,3875.289384,4525.144287,4453.515059,4871.172142,5022.808168,5359.382638,5389.850539,5389.700619,5828.563649,6006.253433,6217.242028,6434.936758,6661.101388
United Kingdom,GBR,6114.529259,6141.982551,6142.749834,6174.550896,6138.754137,6270.984059,6200.554113,6102.396768,6015.726861,5643.128595,5700.855864,5471.933475,5449.259473,5409.626422,5130.390253
United Arab Emirates,ARE,11782.92406,11601.53529,11969.76598,12036.8916,12184.28989,13161.19882,12651.06796,12029.54591,11457.091,10518.79703,10695.28993,10732.80464,10988.96026,11271.10654,11562.98852
Switzerland,CHE,7845.634548,7992.277576,8031.432226,8195.120835,8205.829119,8305.371102,8360.576135,8163.295576,8305.923042,8021.223604,8174.408162,7928.19067,7886.094306,7807.058815,7520.166025
United States,USA,13671.05202,13046.61415,13296.1823,13307.49201,13388.58971,13704.57705,13583.26696,13657.45283,13663.42797,12913.71469,13394.90276,13245.88193,12964.18794,13004.02357,12993.96558
Singapore,SGP,7575.435954,7516.1696,7756.318921,8113.587306,8314.325321,8678.168168,8720.022084,8706.579067,8401.048395,8114.367449,8679.99335,8651.755275,8673.985216,8680.606361,8844.687593
New Zealand,NZL,9384.348187,9417.343126,9526.655692,9407.032181,9666.299694,9673.673771,9700.090809,9640.607983,9556.317198,9403.848836,9601.903142,9458.485401,9360.949162,9089.619774,9012.731097
Canada,CAN,17037.07228,16840.19375,16960.63967,17208.52352,17264.73674,16948.27522,16508.33955,16683.13366,16377.4797,15450.73069,15269.74548,15644.54028,15336.62486,15750.81163,15588.48715
Finland,FIN,15305.40981,15709.88325,16140.06697,16445.57256,16777.56585,16117.89033,17215.03729,17160.86312,16349.23333,15243.11039,16484.09428,15710.97376,15689.22331,15510.8355,15249.98938
Germany,DEU,6635.421406,6762.653396,6900.780527,7009.726492,7108.962524,7138.221485,7212.437448,7229.089913,7187.764009,6817.158398,7264.322591,7281.272174,7270.152523,7217.529089,7035.482975
Hungary,HUN,3309.283711,3426.722902,3545.170756,3637.278332,3680.168467,3771.364614,3882.490664,3976.518977,3988.767694,3773.153807,3876.491084,3898.823143,3923.042324,3892.113701,3965.958233
Italy,ITA,5299.856479,5406.491722,5539.703837,5652.519542,5687.997573,5731.101557,5833.467297,5804.325964,5757.960611,5368.390567,5493.711037,5514.803615,5397.741477,5159.183655,5002.40668
Kuwait,KWT,14867.42733,15326.80549,15806.66652,16856.48292,17050.53353,17342.28683,17842.87019,17074.5689,17063.82288,16669.70721,17033.61741,16023.47459,15837.21271,14694.56616,15297.81071
Japan,JPN,8299.409506,8162.014644,8266.099102,8164.933682,8393.257723,8539.010589,8542.478139,8710.025703,8270.007731,8020.273806,8594.909034,8099.598695,7998.346771,7988.58331,7819.714636
Israel,ISR,6323.103832,6400.217425,6502.739726,6597.306307,6525.921574,6572.199535,6711.229567,7003.24508,7134.002846,6607.887143,6953.276667,6930.000773,7184.501612,6710.093678,6600.89828
